Antigua and Barbuda,2011,75.46602439
Australia,2011,81.89512195
Austria,2011,80.98292683
Azerbaijan,2011,70.55180488
Burundi,2011,55.31202439
Belgium,2011,80.58536585
Benin,2011,58.93290244
Burkina Faso,2011,57.49204878
Bangladesh,2011,70.47195122
Bulgaria,2011,74.16341463
Bahrain,2011,76.26785366
"Bahamas, The",2011,74.75441463
Bosnia and Herzegovina,2011,75.96292683
Belarus,2011,70.55365854
Belize,2011,69.84368293
Bolivia,2011,66.94256098
Brazil,2011,73.55234146
Barbados,2011,75.00814634
Brunei Darussalam,2011,77.93231707
Bhutan,2011,68.32319512
Botswana,2011,63.95160976
Central African Republic,2011,48.35043902
Canada,2011,81.34929268
Switzerland,2011,82.69512195
Channel Islands,2011,80.1695122
Chile,2011,80.58697561
China,2011,75.20217073
Cote d'Ivoire,2011,50.51721951
Cameroon,2011,54.13736585
"Congo, Rep.",2011,60.08517073
Colombia,2011,73.45480488
Comoros,2011,62.2127561
Cabo Verde,2011,72.70956098
Costa Rica,2011,78.89017073
Cuba,2011,79.0395122
Cyprus,2011,79.5715122
Czech Republic,2011,77.87317073
Germany,2011,80.74146341
Djibouti,2011,60.85056098
Denmark,2011,79.8
Dominican Republic,2011,72.94529268
Algeria,2011,74.07
Ecuador,2011,75.22643902
"Egypt, Arab Rep.",2011,70.53331707
Eritrea,2011,62.06936585
Spain,2011,82.47560976
Estonia,2011,76.22926829
Ethiopia,2011,62.08302439
Finland,2011,80.47073171
Fiji,2011,69.565
France,2011,82.11463415
"Micronesia, Fed. Sts.",2011,68.731
Gabon,2011,62.70509756
United Kingdom,2011,80.95121951
Georgia,2011,74.18204878
Ghana,2011,60.808
Guinea,2011,57.00053659
"Gambia, The",2011,59.56058537
Guinea-Bissau,2011,54.15941463
Equatorial Guinea,2011,56.44682927
Greece,2011,80.73170732
Grenada,2011,72.79341463
Guatemala,2011,71.01041463
Guam,2011,78.35958537
Guyana,2011,66.12914634
"Hong Kong SAR, China",2011,83.42195122
Honduras,2011,72.57273171
Croatia,2011,76.77560976
Haiti,2011,61.64519512
Hungary,2011,74.85853659
Indonesia,2011,68.33439024
India,2011,66.90417073
Ireland,2011,80.74634146
"Iran, Islamic Rep.",2011,74.41258537
Iraq,2011,68.70970732
Iceland,2011,82.35853659
Italy,2011,82.18780488
Jamaica,2011,75.0862439
Jordan,2011,73.59185366
Japan,2011,82.59121951
Kazakhstan,2011,68.98
Kenya,2011,59.53421951
Kyrgyz Republic,2011,69.60243902
Cambodia,2011,66.87287805
Kiribati,2011,65.44063415
"Korea, Rep.",2011,80.96707317
Kuwait,2011,74.2335122
Lao PDR,2011,64.79812195
Lebanon,2011,78.68985366
Liberia,2011,59.86434146
Libya,2011,71.68326829
St. Lucia,2011,74.63570732
Sri Lanka,2011,74.42456098
Lesotho,2011,48.2197561
Lithuania,2011,73.56341463
Luxembourg,2011,80.98780488
Latvia,2011,73.57560976
"Macao SAR, China",2011,79.9062439
Morocco,2011,72.98543902
Moldova,2011,70.27109756
Madagascar,2011,63.80741463
Maldives,2011,76.3375122
Mexico,2011,76.18565854
"Macedonia, FYR",2011,74.8745122
Mali,2011,56.65468293
Malta,2011,80.74634146
Myanmar,2011,65.18090244
Montenegro,2011,75.39131707
Mongolia,2011,68.12253659
Mozambique,2011,53.73829268
Mauritania,2011,62.2924878
Mauritius,2011,73.26682927
Malawi,2011,58.50012195
Malaysia,2011,74.2867561
Namibia,2011,63.27717073
New Caledonia,2011,76.72682927
Niger,2011,59.20456098
Nigeria,2011,51.73780488
Nicaragua,2011,73.90129268
Netherlands,2011,81.20487805
Norway,2011,81.29512195
Nepal,2011,68.40663415
New Zealand,2011,80.90487805
Oman,2011,76.32763415
Pakistan,2011,65.447
Panama,2011,77.05168293
Peru,2011,73.84497561
Philippines,2011,67.89065854
Papua New Guinea,2011,62.15263415
Poland,2011,76.69512195
Puerto Rico,2011,78.67317073
Portugal,2011,80.47073171
Paraguay,2011,72.48719512
French Polynesia,2011,75.91702439
Qatar,2011,78.02780488
Romania,2011,74.4097561
Russian Federation,2011,69.65853659
Rwanda,2011,62.15536585
Saudi Arabia,2011,73.85485366
Sudan,2011,62.45553659
Senegal,2011,64.69536585
Singapore,2011,81.74390244
Solomon Islands,2011,67.29121951
Sierra Leone,2011,49.03473171
El Salvador,2011,71.95617073
Somalia,2011,54.35695122
South Sudan,2011,54.205
Sao Tome and Principe,2011,66.00378049
Suriname,2011,70.59939024
Slovak Republic,2011,75.95853659
Slovenia,2011,79.97073171
Sweden,2011,81.80243902
Swaziland,2011,48.66139024
